p0_x,p0_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,label
0.0,0.0,-0.061976075172424316,-0.03514367341995239,-0.11355841159820557,-0.11522877216339111,-0.13148605823516846,-0.2006000280380249,-0.09945768117904663,-0.2632308602333069,-0.08929502964019775,-0.21839654445648193,-0.1045389175415039,-0.31525564193725586,-0.10346466302871704,-0.26082420349121094,-0.09382081031799316,-0.20799648761749268,-0.050950706005096436,-0.2340989112854004,-0.06457740068435669,-0.3335496187210083,-0.06496280431747437,-0.26870840787887573,-0.05497223138809204,-0.2112244963645935,-0.01044321060180664,-0.23763006925582886,-0.02293473482131958,-0.3345235288143158,-0.0312424898147583,-0.2816208004951477,-0.025094926357269287,-0.22200506925582886,0.03397327661514282,-0.2312999963760376,0.027483761310577393,-0.3135072886943817,0.0076386332511901855,-0.2996954321861267,-0.0018500685691833496,-0.259891152381897,0
0.0,0.0,-0.06030839681625366,-0.036608874797821045,-0.11157137155532837,-0.11132919788360596,-0.13535338640213013,-0.1919635534286499,-0.10122156143188477,-0.2498152256011963,-0.09068101644515991,-0.20424097776412964,-0.11545491218566895,-0.29445382952690125,-0.11277639865875244,-0.23559850454330444,-0.0995948314666748,-0.1888507604598999,-0.05508697032928467,-0.22236895561218262,-0.07455486059188843,-0.31990551948547363,-0.07733660936355591,-0.24946683645248413,-0.06691837310791016,-0.19779515266418457,-0.016344904899597168,-0.2302655577659607,-0.031441450119018555,-0.3332139253616333,-0.0431097149848938,-0.2711678445339203,-0.03574472665786743,-0.21022909879684448,0.0264589786529541,-0.22798389196395874,0.014536023139953613,-0.31019800901412964,-0.00935816764831543,-0.2885269522666931,-0.017685890197753906,-0.2461930513381958,0
0.0,0.0,-0.05908691883087158,-0.06167382001876831,-0.09346014261245728,-0.14429420232772827,-0.11419439315795898,-0.20488381385803223,-0.11105334758758545,-0.25637805461883545,-0.02915477752685547,-0.22305244207382202,-0.044269859790802,-0.310688316822052,-0.07939577102661133,-0.2804366648197174,-0.08344113826751709,-0.23344260454177856,-0.011010050773620605,-0.2298809289932251,-0.03387409448623657,-0.331449031829834,-0.07783907651901245,-0.2852936387062073,-0.07983684539794922,-0.22725290060043335,0.008788347244262695,-0.22929024696350098,-0.011781811714172363,-0.327856183052063,-0.058295369148254395,-0.28260135650634766,-0.06361967325210571,-0.22394025325775146,0.027837514877319336,-0.22128963470458984,0.007880628108978271,-0.30436578392982483,-0.03173452615737915,-0.28012460470199585,-0.043137550354003906,-0.22876185178756714,0
0.0,0.0,-0.05680125951766968,-0.07628601789474487,-0.08263468742370605,-0.16127151250839233,-0.10658693313598633,-0.2147003412246704,-0.10873574018478394,-0.26354146003723145,0.01913130283355713,-0.23396313190460205,-0.02692800760269165,-0.31881535053253174,-0.07021188735961914,-0.2878088057041168,-0.08040136098861694,-0.24012643098831177,0.03360879421234131,-0.23399347066879272,-0.027997732162475586,-0.3303329646587372,-0.07899755239486694,-0.2832449674606323,-0.08034813404083252,-0.22641491889953613,0.03675055503845215,-0.22478348016738892,-0.02068471908569336,-0.32092806696891785,-0.06925547122955322,-0.27438831329345703,-0.06986463069915771,-0.21938788890838623,0.025635719299316406,-0.20722556114196777,-0.015531182289123535,-0.29075679183006287,-0.050205111503601074,-0.26591062545776367,-0.051691412925720215,-0.21839666366577148,0
0.0,0.0,-0.05078631639480591,-0.06534457206726074,-0.08147275447845459,-0.1522310972213745,-0.10009628534317017,-0.21674537658691406,-0.08842688798904419,-0.2640767991542816,-0.014843463897705078,-0.22344297170639038,-0.022471487522125244,-0.30921387672424316,-0.0569574236869812,-0.275223046541214,-0.06309497356414795,-0.22560405731201172,0.00435405969619751,-0.22812902927398682,-0.009774565696716309,-0.32484495639801025,-0.05143672227859497,-0.2808876633644104,-0.05599939823150635,-0.22290325164794922,0.025323808193206787,-0.22496360540390015,0.012793660163879395,-0.32404041290283203,-0.03266817331314087,-0.2834315001964569,-0.04213649034500122,-0.22461402416229248,0.04635202884674072,-0.21508073806762695,0.035692811012268066,-0.3038174510002136,-0.0032405853271484375,-0.2864784300327301,-0.02032625675201416,-0.23845237493515015,0
0.0,0.0,-0.061280906200408936,-0.045103609561920166,-0.10975039005279541,-0.12770050764083862,-0.12781167030334473,-0.21193474531173706,-0.08630019426345825,-0.2577439844608307,-0.08185678720474243,-0.20900940895080566,-0.10084348917007446,-0.2939203083515167,-0.09982037544250488,-0.23891913890838623,-0.09013885259628296,-0.1994118094444275,-0.044879019260406494,-0.2228112816810608,-0.05953186750411987,-0.31396767497062683,-0.06400012969970703,-0.25312674045562744,-0.0566554069519043,-0.2045169472694397,-0.0066623687744140625,-0.22670495510101318,-0.018253207206726074,-0.3216454088687897,-0.030510246753692627,-0.27400365471839905,-0.027051568031311035,-0.21800565719604492,0.03487086296081543,-0.2219122052192688,0.02555018663406372,-0.29768529534339905,0.005071699619293213,-0.2873595058917999,-0.003407418727874756,-0.25179100036621094,0
0.0,0.0,-0.05864918231964111,-0.02858901023864746,-0.10123586654663086,-0.11579930782318115,-0.09949570894241333,-0.20503467321395874,-0.06432026624679565,-0.25561684370040894,-0.09316426515579224,-0.1999722123146057,-0.11376011371612549,-0.2886047661304474,-0.09707921743392944,-0.2457985281944275,-0.08200246095657349,-0.20018869638442993,-0.05504387617111206,-0.21813464164733887,-0.0648655891418457,-0.30518171191215515,-0.04974490404129028,-0.23845553398132324,-0.04341071844100952,-0.19514214992523193,-0.01725691556930542,-0.22080540657043457,-0.023826539516448975,-0.3140657842159271,-0.018763303756713867,-0.25612393021583557,-0.013754129409790039,-0.2037639021873474,0.02253657579421997,-0.21213042736053467,0.017861366271972656,-0.28588372468948364,0.013118863105773926,-0.2640780806541443,0.011431097984313965,-0.2290489673614502,0
0.0,0.0,-0.05084359645843506,-0.01900261640548706,-0.09503704309463501,-0.10719043016433716,-0.09275108575820923,-0.19595903158187866,-0.06025063991546631,-0.25034084916114807,-0.10328143835067749,-0.18364793062210083,-0.1256619691848755,-0.280098557472229,-0.10078465938568115,-0.2577787935733795,-0.08329784870147705,-0.21665751934051514,-0.06561470031738281,-0.20636945962905884,-0.07293367385864258,-0.30354154109954834,-0.04640084505081177,-0.24717360734939575,-0.040007948875427246,-0.19590401649475098,-0.028185665607452393,-0.21250027418136597,-0.03449219465255737,-0.2999221086502075,-0.017432332038879395,-0.2473645806312561,-0.014390170574188232,-0.19640016555786133,0.008667409420013428,-0.20618337392807007,0.004964172840118408,-0.27672335505485535,0.009222209453582764,-0.25546199083328247,0.0071547627449035645,-0.22134929895401,0
0.0,0.0,-0.04922991991043091,-0.02531874179840088,-0.08592468500137329,-0.11219149827957153,-0.07698017358779907,-0.19122713804244995,-0.044780850410461426,-0.23701795935630798,-0.10204511880874634,-0.18496590852737427,-0.11639583110809326,-0.28046587109565735,-0.08381432294845581,-0.24870949983596802,-0.06885272264480591,-0.20564037561416626,-0.06452769041061401,-0.20517420768737793,-0.07164239883422852,-0.2990192174911499,-0.040650367736816406,-0.24429446458816528,-0.03805190324783325,-0.20072156190872192,-0.028566300868988037,-0.21008789539337158,-0.034526169300079346,-0.29853856563568115,-0.012852013111114502,-0.2495371401309967,-0.012383699417114258,-0.204909086227417,0.005375862121582031,-0.20208317041397095,0.0007375478744506836,-0.2732655704021454,0.011058807373046875,-0.25414156913757324,0.009924709796905518,-0.22446924448013306,0
0.0,0.0,-0.04069322347640991,-0.02808171510696411,-0.06039738655090332,-0.1000639796257019,-0.046613454818725586,-0.17446017265319824,-0.027638256549835205,-0.2345099151134491,-0.0998421311378479,-0.17958372831344604,-0.1028667688369751,-0.2661818563938141,-0.06648033857345581,-0.2555709779262543,-0.04486429691314697,-0.218372642993927,-0.06461787223815918,-0.2008298933506012,-0.07128715515136719,-0.29447445273399353,-0.031411051750183105,-0.2707614600658417,-0.013698220252990723,-0.23341697454452515,-0.03422081470489502,-0.2049926221370697,-0.040181636810302734,-0.2879790961742401,-0.009747326374053955,-0.27601146697998047,0.006514191627502441,-0.23788082599639893,-0.0044293999671936035,-0.19516369700431824,-0.00807809829711914,-0.2646501958370209,0.010847806930541992,-0.2621225118637085,0.020180165767669678,-0.23237472772598267,0
